,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Saint George,37.1041,-113.5841,97.95,16,1,5.01,US,1628225604
1,Sohag,26.557,31.6948,88.09,13,0,1.86,EG,1628225605
2,Rikitea,-23.1203,-134.9692,74.12,76,10,14.38,PF,1628225605
3,Punta Arenas,-53.15,-70.9167,35.71,87,75,25.32,CL,1628225550
4,Kavieng,-2.5744,150.7967,84.24,70,46,14.16,PG,1628225605
5,Qaqortoq,60.7167,-46.0333,46.87,96,100,1.5,GL,1628225606
6,New Norfolk,-42.7826,147.0587,56.75,60,95,8.01,AU,1628225606
7,Mataura,-46.1927,168.8643,48.47,87,75,4.0,NZ,1628225606
8,Vaini,-21.2,-175.2,75.36,83,20,10.36,TO,1628225607
9,Ushuaia,-54.8,-68.3,37.06,75,75,5.75,AR,1628225607
10,Afuá,-0.1567,-50.3867,76.42,88,84,5.19,BR,1628225608
11,Mahébourg,-20.4081,57.7,73.26,88,40,3.44,MU,1628225608
12,Bambous Virieux,-20.3428,57.7575,73.22,88,40,3.44,MU,1628225608
13,Provideniya,64.3833,-173.3,55.51,58,75,8.95,RU,1628225609
14,George Town,5.4112,100.3354,89.55,62,20,3.0,MY,1628225609
15,Sitka,57.0531,-135.33,60.69,82,90,0.0,US,1628225609
16,Deniliquin,-35.5333,144.9667,57.99,54,93,11.48,AU,1628225610
17,Carnarvon,-24.8667,113.6333,78.87,33,90,17.27,AU,1628225610
18,Bluff,-46.6,168.3333,48.79,73,39,16.13,NZ,1628225610
19,Palmer,42.1584,-72.3287,66.92,85,90,0.0,US,1628225611
20,Cabo San Lucas,22.8909,-109.9124,84.51,78,85,1.99,MX,1628225391
21,Vanimo,-2.6741,141.3028,82.36,82,26,5.14,PG,1628225611
22,Morant Bay,17.8815,-76.4093,83.82,83,72,8.93,JM,1628225612
23,Okato,-39.2,173.8833,53.42,89,72,5.88,NZ,1628225612
24,Cape Town,-33.9258,18.4232,53.11,91,0,3.44,ZA,1628225317
25,Mossamedes,-15.1961,12.1522,64.65,82,0,2.28,AO,1628225613
26,Greater Sudbury,46.49,-80.99,65.37,90,85,4.72,CA,1628225613
27,Laguna,38.421,-121.4238,77.31,62,20,1.01,US,1628225613
28,Kyaikkami,16.08,97.5675,78.48,93,99,17.0,MM,1628225614
29,La Ronge,55.1001,-105.2842,70.05,56,75,6.91,CA,1628225614
30,Aykhal,66.0,111.5,64.04,30,5,22.03,RU,1628225614
31,Port Alfred,-33.5906,26.891,59.22,89,5,14.25,ZA,1628225615
32,Safi,32.2994,-9.2372,67.33,88,0,9.64,MA,1628225615
33,Gorin,51.1983,136.6669,59.59,99,100,4.54,RU,1628225615
34,Fortuna,40.5982,-124.1573,61.93,72,90,1.99,US,1628225616
35,Pathein,16.7833,94.7333,78.82,87,100,9.24,MM,1628225616
36,Souillac,-20.5167,57.5167,73.36,88,40,3.44,MU,1628225616
37,Lagoa,39.05,-27.9833,72.07,89,19,18.84,PT,1628225617
38,Bredasdorp,-34.5322,20.0403,54.28,93,92,1.14,ZA,1628225617
39,Thompson,55.7435,-97.8558,50.16,81,90,0.0,CA,1628225505
40,San Quintín,30.4833,-115.95,67.35,87,8,6.98,MX,1628225617
41,Arraial do Cabo,-22.9661,-42.0278,67.51,81,85,11.25,BR,1628225618
42,Albany,42.6001,-73.9662,66.61,88,3,3.51,US,1628225356
43,Tigil',57.8,158.6667,48.83,89,100,2.59,RU,1628225618
44,Kaitangata,-46.2817,169.8464,53.92,60,31,4.47,NZ,1628225619
45,Praia,14.9215,-23.5087,77.54,94,75,13.8,CV,1628225619
46,Lüderitz,-26.6481,15.1594,54.1,73,28,1.81,NA,1628225619
47,Atuona,-9.8,-139.0333,77.86,76,25,14.61,PF,1628225620
48,Omsukchan,62.5333,155.8,50.56,74,81,20.13,RU,1628225620
49,São João da Barra,-21.6403,-41.0511,67.48,80,51,6.44,BR,1628225620
50,Arivonimamo,-19.0167,47.1833,50.05,68,1,6.08,MG,1628225621
51,Iqaluit,63.7506,-68.5145,42.53,75,90,8.01,CA,1628225621
52,Bridlington,54.0831,-0.1919,61.29,94,98,10.16,GB,1628225622
